subject,ects,classtype,term,offered,first_year,description
Project: Coreforge,4,"analiza kodu źródłowego, prezentacja, projekt programistyczny",winter,True,False,"Celem projektu jest praktyczna nauka architektur komputerów poprzez ich implementację w formie umożliwiającej syntezę na układy FPGA. 

W ramach projektu powstaje rdzeń o nazwie Coreblocks, implementujący zestaw instrukcji [RISC-V](https://github.com/riscv/riscv-isa-manual/releases/download/Ratified-IMAFDQC/riscv-spec-20191213.pdf) (RV32I) w mikroarchitekturze out-of-order. Implementacja będzie miała w założeniu modularny charakter ""generatora rdzeni"", umożliwiający dodawanie, rekonfigurację i wymianę elementów składowych rdzenia bez głębokich zmian w kodzie.

Dalszymi celami projektu są:

* Integracja z generatorem układów SoC (System on Chip) [LiteX](https://github.com/enjoy-digital/litex), co umożliwi użycie rdzenia w charakterze mikrokontrolera.
* Budowa mechanizmów automatycznego testowania, umożliwiających sprawdzanie poprawności oraz parametrów wydajnościowych (np. maksymalna częstotliwość taktowania, liczba użytych zasobów FPGA) w miarę rozwoju projektu.
* Implementacja rozszerzeń architektury (na przykład: instrukcje mnożące i dzielące, instrukcje atomowe, operacje zmiennoprzecinkowe, instrukcje CSR).
* Implementacja [instrukcji uprzywilejowanych](https://github.com/riscv/riscv-isa-manual/releases/download/Ratified-IMFDQC-and-Priv-v1.11/riscv-privileged-20190608.pdf) oraz port [OpenSBI](https://github.com/riscv-software-src/opensbi).
* Implementacja i eksperymenty z różnymi rodzajami predyktorów skoków, pamięci cache, itp.

Długoterminowym celem projektu jest uruchomienie na zaimplementowanym rdzeniu systemu operacyjnego Mimiker.

Praca nad projektem będzie miała charakter zespołowy. Student, po przydzieleniu zadania, powinien zapoznać się z wybraną tematyką, ustalić koncepcję implementacji oraz zaprezentować i przedyskutować ją podczas spotkania projektowego. Opracowany kod oraz dokumentacja projektu będzie podlegać recenzji ze strony prowadzącego oraz innych studentów."
Financial Services,5,"Wykład, ćwiczenia",winter,True,False,"**Przedmiot prowadzony przez dr hab., prof. UWr  Edytę Rutkowską z Instytutu Nauk Ekonomicznych.**

#### Cele przedmiotu
1. Przedstawienie kompleksowej wiedzy o istocie, specyfice i cechach charakterystycznych usług
finansowych oraz instytucji je świadczących (instytucji finansowych).
2. Zapoznanie studenta z zagrożeniami i ryzykiem związanym z usługami finansowymi.
3. Zapoznanie z całokształtem regulacji prawnych dotyczących usług finansowych.
#### Treści programowe
Pojęcie i specyfika usług finansowych (usługi bankowe, kredytowe, płatnicze, ubezpieczeniowe,
inwestycyjne); Klient usług finansowych (klient detaliczny, klient profesjonalny, konsument) Źródła
zagrożeń i ryzyka dla klientów usług finansowych. Regulacja usług finansowych w UE.

Podmioty świadczące legalnie usługi finansowe w UE. Zasady podejmowania i prowadzenia
działalności w zakresie świadczenia usług finansowych w UE.

Nowe technologie na rynku usług finansowych. Fin-Tech – problemy pojęciowe i regulacyjne.
Korzyści zagrożenia, - ryzyka dla konsumentów i wyzwania

Umowy o usługi finansowe i ich regulacja w UE - ogólna charakterystyka i tendencje dotyczące ich
regulacji w UE. Koszty usług finansowych (Odpłatność za usługi finansowe)- odsetki, opłaty, prowizje
i inne koszty ponoszone przez klientów). Obowiązki instytucji finansowych wobec klientów usług
finansowych

Usługi depozytowe ich charakterystyka i regulacja

Usługi typu kredytowego ich charakterystyka i regulacja (kredyt bankowy, kredyt hipoteczny, kredyt
konsumencki, konsumencki kredyt hipoteczny, odwrócony kredyt hipoteczny, leasing)

Usługi ubezpieczeniowe ich charakterystyka i regulacja. Dystrybucja usług ubezpieczeniowych

Usługi płatnicze ich charakterystyka i regulacja

Usługi inwestycyjne ich charakterystyka i regulacja

Usługi emerytalne ich charakterystyka i regulacja"
Course: Game Development in Unreal Engine 5,5,"Wykład, indywidualny lub zespołowy projekt programistyczny, samodzielna praca przy komputerze",winter,True,False,"W przeciwieństwie do kursu Unity nie będę omawiał silnika okno po oknie i właściwości po właściwości, zamiast tego pokażę jak napisać pięć przykładowych gier, od początku do końca używając silnika Unreal 5.

Gry które pojawią się na wykładzie:
- rozbijanie ściany z beczek (fizyka, podstawy, blue printy)
- platformówka z przeszkodami (skrypty c++, animacje, postacie humanoidalne)
- lochy (programowanie obiektowe, kolizje, input system)
- czołgi (multi player, game framework)
- TPS (third person shooter, animacje, AI, GUI)

Dodatkowo omówienie systemu technologii oświetlenia globalnego ""Lumen"" oraz systemu ""Nanite"" umożliwiającego budowę scen 3D o bardzo dużym poziomie szczegółowości.

Kurs nie jest od podstaw, co oznacza, że wymaga wcześniejszej znajomości C++ i podstaw programowania."
Combinatorial Optimization under uncertainty,6,wykład,winter,True,False,"Rozważmy portal randkowy (nie tinder), w którym są 44 tysiące kobiet i 44 tysięce mężczyzn. Portal zarabia na miesięcznej subskrypcji, a jego zadaniem jest proponowanie użytkownikom randek. Portal używając danych użytkowników (np. z ankiet na temat cech charakteru, ulubionych filmów i muzyki itd) jest w stanie całkiem nieźle wyestymować dla każdej pary użytkowników prawdopodobieństwo, że dana para się sobie wzajemnie spodoba, o ile tylko pójdzie na randkę.
Pytanie jednak jest następujące: w jaki sposób portal powinien proponować randki, aby zmaksymalizować średnią (lub też totalną w ciągu roku) liczbę szczęśliwie skojarzonych par? Nie możemy przecież wysłać żadnego użytkownika na 100 nieudanych randek, bo do tego czasu zrezygnuje z subskrypcji. Musimy więc robić to ostrożnie. Co więcej dana para, jeśli tylko się sobie spodoba, to natychmiast opuszcza portal (a przynajmniej takie jest sensowne założenie). 
Gdyby nie było tutaj żadnej niepewności i a priori byśmy wiedzieli, które pary się sobie spodobają, a które nie, to naszym zadaniem byłoby obliczenie po prostu maksymalnego skojarzenia w grafie, które możemy zrobić całkiem sprawnie w czasie wielomianowym.
Ale gdy uwzględnimy stochastyczną naturę, czyli że randki mogą się udać albo się nie udać, to problem --- mimo, że cały czas dotyczy skojarzeń w grafach --- staje się nagle zgoła inny. Co więcej, teraz nawet nie tyle, co nie znamy wielomianowego algorytmu, ale nawet nie wiemy, czy ten problem należy do klasy NP. Mimo wszystko na wykładzie zobaczymy 2-aproksymacyjny algorytm dla tego problemu.

Istotą tego przydługiego wstępu była ilustracja faktu, że bardzo często prawdziwie praktyczne problemy mają pewien aspekt niepewności w sobie, a ten z kolei wymusza zupełnie inne podejście do problemu niż w przypadku jego deterministycznego odpowiednika. 
Na wykładzie przedstawię kilka klasycznych modeli niepewności: stochastyczne próbkowanie (przykład portalu randkowego), problem sekretarki (https://en.wikipedia.org/wiki/Secretary_problem), nierówność Proroka (https://en.wikipedia.org/wiki/Prophet_inequality) i algorytmy online oraz jak w tych modelach rozważać struktury kombinatoryczne takie jak skojarzenia lub matroidy (na wykładzie wytłumaczę co to).

Przedmiot będzie mocno matematyczny, a nawet mocno probabilistyczny, jednak nie będziemy potrzebować żadnego zaawansowanego aparatu --- znajomość warunkowej wartości oczekiwanej w zupełności wystarczy."
Tutoring,0,,winter,True,True,"Celem tutoringu jest czuwanie nad właściwą organizacją pracy przez
studenta, śledzenie jego postępów i pomoc w sytuacjach trudnych.

Zajęcia w ramach przedmiotu nie mają wyznaczonych cotygodniowych terminów, lecz odbywają się kilkakrotnie w czasie semestru w terminach wyznaczonych przez prowadzących, w ramach spotkań indywidualnych lub grupowych. Dodatkowo prowadzący są do
dyspozycji studentów na bieżąco, gdy pojawiają się problemy związane z tokiem studiów."
Combinatorial optimization,6,"* Ćwiczenia audytoryjne
* Wykład monograficzny",winter,True,False,"**Program:**

1.Matchingi.

Matchingi (skojarzenia) oraz ich uogólnienia pojawiają się w bardzo wielu
kontekstach, bardziej i mniej oczywistych, m.in. przy:

  * różnego typu przydziałach: zadań pracownikom lub maszynom, studentów szkołom itp.

  * obliczaniu podgrafów, w których każdy wierzchołek ma mieć stopień z podanego przedziału. Za pomocą skojarzeń oblicza się np. pokrycia cyklowe (podgrafy, w kt. każdy wierzchołek ma mieć stopień 2) o najmniejszej/największej wadze. Takie pokrycia przydają się z kolei w znajdowaniu optymalnych dróg komiwojażera,

  * aukcjach.

2.Matroidy.

Przykładami matroidów są lasy w grafach i podzbiory niezależnych liniowo
kolumn danej macierzy.

3.Rozlaczne sciezki, T-joins i T-cuts.

T-joiny mają zastosowania m.in. w wykrywaniu cykli o ujemnej wadze.

4.Przeplywy.

**Wymagania:** matematyka dyskretna, algorytmy i struktury danych"
Digital Image Processing,6,"* lecture
* programming lab
* programming project
* tutorial
* individual computer work",winter,True,False,"Przedmiot może się odbyć w języku polskim lub angielskim o czym możemy zadecydować na pierwszych zajęciach  
(Language can be switched to English or Polish, we can decide about it on the first lecture). 

Advances in digital photography have made great interest in Digital Image Processing (DIP) area and created new research field of Computational Photography (CP). In this lecture we will present both classical DIP methods which are the main tools in image editors as well as the new methods from the CP.

**Topics:**

  1. Color Science and High Dynamic Range Imaging
  2. Per pixel operations, histograms, combining images
  3. Geometrical operations eg. distortion correction
  4. Linear filtering and Fourier transforms
  7. Edge detection
  6. Nonlinear filters eg. median, bilateral
  8. Morphological operators: dylation and erosion
  9. Multiresolution representations
  10. Keypoint detection and image registration
  11. Image segmentation, graphcuts and texture synthesis
  12. Gradient domain image processing

**Requirements:** 
 * some maths: Calculus and Algebra 
 * programming skills: prefered C/C++
 * knowledge of Computer Graphics can be beneficial"
Algebra,7,"* Ćwiczenia audytoryjne
* Wykład",winter,True,True,"**Program:**

1. Przestrzenie liniowe. Zbiory liniowo niezależne. Bazy.
2. Macierze i przekształcenia liniowe. Rząd macierzy. Algorytm eliminacji Gaussa.
3. Wyznaczniki. Własności wyznaczników. Rozwinięcie Laplace’a. 
4. Równania liniowe. Zbiór rozwiązań układu równań liniowych. Wzory Cramera.
5. Wartości i wektory własne. Podprzestrzenie niezmiennicze. Wielomian charakterystyczny.
6. Iloczyn skalarny. Rzut ortogonalny. Izometrie i przekształcenia ortogonalne.
7. Elementy geometrii.
8. Grupy — podstawowe pojęcia: rząd grupy, rząd elementu grupy, podgrupa.
9. Grupy permutacji. Rozkład permutacji na cykle. Znak permutacji. 
10. Działanie grupy na zbiorze.
Orbity i stabilizatory. Lemat Burnside’a. Warstwy. Twierdzenie Lagrange’a.
11. Arytmetyka modularna. Relacja podzielności. Pierścienie i pierścienie Zn.
12. Algorytm Euklidesa. Chińskie twierdzenie o resztach.
13. Pierścienie wielomianów. Podzielność wielomianów.
14. Przykład konstrukcji ciała skończonego.

**Wymagania:**
* Matematyka w zakresie szkoły średniej.
* Podstawy analizy
matematycznej.
* Podstawy logiki i teorii mnogości.

**Literatura**

W zasadzie każda książka do algebry liniowej i algebry
powinna pokryć przerabiany materiał. Poniżej przykładowe pozycje.

1. A. Białynicki-Birula, Algebra
2. G. Birkhoff, S. Mac Lane, Przeglad algebry współczesnej
3. B. Gleigchgewicht,
Algebra
4. A. Kostrikin, J. Manin Algebra liniowa i geometria
5. A. Kostrikin, Zbiór zadań z algebry
6. A. Kostrikin, Wstęp do algebra t. 1-3
7. A. Mostowski, M. Stark, Elementy algebry wyższej
8. A. Mostowski, M. Stark, Algebra liniowa
9. J. Rutkowski, Algebra abstrakcyjna w zadaniach"
Deep Learning (project),6,* projekt programistyczny,winter,True,False,"Celem projektu jest doskonalenie umiejętności programowania metod związanych z
głębokim uczeniem (ang. _deep learning_ ).

W ramach projektu omówione zostaną zastosowania głębokich sieci neuronowych do przetwarzania tekstu i obrazów.

W programie projektu przewiduje się programowanie sieci związanych z klasyfikacją, detekcją obiektów oraz segmentacją obrazów za pomocą takich
sieci neuronowych jak:
  * głębokie sieci splotowe (deep convolutional neural networks, CNN)
  * region-based CNN (RCNN)
  * Mask-RCNN
  * Fast-RCNN, Faster-RCNN

Realizacja projektu będzie wymagała zaprogramowanie całości procesu:
* pobeiranie i przetwarzanie danych
* przygotowanie danych do uczenia i testowania
* utworzenie odpowiedniego modelu
* tranowanie i walidacja modelu
* testowanie modelu
* zapisywanie pośrednich stanów modelu
* otwrzoenie podsumowania z istotnymi dla zadania metrykami.


**Wymagania:** wiedza z analizy matematycznej,
ukończenie przedmiotu z sieci neuronowych, umiejętność programowania w języku Python."
Artificial Intelligence,6,"Wykład, prezentacja, rozwiązywanie zadań z komentowaniem, dyskusja, konsultowanie pomysłów na rozwiązywanie zadań programistycznych, samodzielna praca przy komputerze, indywidualny projekt programistyczny",winter,True,False,"Sztuczna inteligencja jest dziedziną budzącą emocje. Chyba każdy programista
chciałby, żeby jego programy (przynajmniej niektóre) działały inteligentnie,
czyli tak jak ludzie, tylko szybciej i bardziej bezbłędnie.

Z drugiej strony budzi też obawy: czy ONE (komputery) będą myśleć lepiej niż
MY (ludzie)? Czy komputer lepszy od człowieka (swego twórcy), będzie mógł
tworzyć jeszcze bardziej inteligentne komputery?

Niniejszy wykład ma na celu przedstawienie najistotniejszych wątków sztucznej
inteligencji, czyli dziedziny, która próbuje modelować zachowanie inteligentne
i tworzyć systemy, które to zachowanie przejawiają.

Choć wykład ma być dość ogólny i przeglądowy, będziemy starać się, by student,
który go ukończy, nie tylko wiedział, jak używać wybrane metody sztucznej
inteligencji, ale je również dobrze rozumiał, potrafił zaimplementować i
zmodyfikować na potrzeby konkretnego zadania.

Będziemy omawiać następujące zagadnienia:
* Modelowanie rzeczywistości za pomocą przestrzeni stanów, metody przeszukiwania z więdzą o problemi i bez wiedzy
* Przeszukiwanie metaheurystyczne: hill climbing, symulowane wyżarzanie, beam search, algorytmy ewolucyjne.
* Rozwiązywanie więzów, wnioskowanie w sieci więzów
* programy grające w różne gry (w tym gry z niepełną informacją), zagadnienia uczenia się strategii, podstawy teorii gier, 
* Decyzyjne procesy Markowa, uczenie ze wzmocnieniem
* uczenie z nadzorem i bez nadzoru
* Modelowanie za pomocą logiki, metody wnioskowania
* Sieci Bayesowskie 
* Wybrane elementy innych dziedzin sztucznej inteligencji


Niektóre zagadnienia mają naturalną kontynuację na przedmiotach Machine learning, Eksploracja danych, Neural Networks and Natural Language Processing, Text mining
czy AI for games -- w takich przypadkach będziemy
koncetrowali się na podstawach tych dziedzin, pozostawiając zainteresowanemu
studentowi możliwość ich zgłębienia na dedykowanych przedmiotach.


W przypadku konieczności organizowania zajęć w formie zdalnej, studenci otrzymają nagrane wykłady, ćwiczenia będą w przeprowadzone z deklaracjami i wspólną pracą nad Raportem z ćwiczeń, zadania na pracownie będą konsultowane i odbierane przy użyciu systemu telekonferencyjnego.

Edycja 2022/2023 będzie miała nową sprawdzaczkę do zadań i nieco większy nacisk na zagadnienia uczenia maszynowego"
